1.975156881522799779e+00 3.195443894388227513e+00
5.841462629318209920e+00 5.077570095311535248e+00
3.212859047461007922e+00 3.151119814089760052e+00
5.882033922253042668e+00 4.373284191827385037e+00
1.998074761575266312e+00 6.914766352191353826e-01
3.234505334858858716e-01 1.750787369989019071e+00
6.054602881751923071e+00 5.359616477477776364e+00
6.067245002356023598e+00 5.079310340048289518e+00
8.854530197870991159e-01 5.040352282937607065e+00
4.087312132537349041e-01 5.962023665865351596e+00
